age,balance,duration,campaign,pdays,previous,day,default,housing,loan,job,marital,education,contact,month,poutcome,y
58,2143,261,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
44,29,151,1,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
33,2,76,1,-1,0,5,0,1,1,entrepreneur,married,secondary,unknown,may,unknown,0
47,1506,92,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
33,1,198,1,-1,0,5,0,0,0,unknown,single,unknown,unknown,may,unknown,0
35,231,139,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
28,447,217,1,-1,0,5,0,1,1,management,single,tertiary,unknown,may,unknown,0
42,2,380,1,-1,0,5,1,1,0,entrepreneur,divorced,tertiary,unknown,may,unknown,0
58,121,50,1,-1,0,5,0,1,0,retired,married,primary,unknown,may,unknown,0
43,593,55,1,-1,0,5,0,1,0,technician,single,secondary,unknown,may,unknown,0
41,270,222,1,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
29,390,137,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
53,6,517,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
58,71,71,1,-1,0,5,0,1,0,technician,married,unknown,unknown,may,unknown,0
57,162,174,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
51,229,353,1,-1,0,5,0,1,0,retired,married,primary,unknown,may,unknown,0
45,13,98,1,-1,0,5,0,1,0,admin.,single,unknown,unknown,may,unknown,0
57,52,38,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
60,60,219,1,-1,0,5,0,1,0,retired,married,primary,unknown,may,unknown,0
33,0,54,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
28,723,262,1,-1,0,5,0,1,1,blue-collar,married,secondary,unknown,may,unknown,0
56,779,164,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
32,23,160,1,-1,0,5,0,1,1,blue-collar,single,primary,unknown,may,unknown,0
25,50,342,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
40,0,181,1,-1,0,5,0,1,1,retired,married,primary,unknown,may,unknown,0
44,-372,172,1,-1,0,5,0,1,0,admin.,married,secondary,unknown,may,unknown,0
39,255,296,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
52,113,127,1,-1,0,5,0,1,1,entrepreneur,married,secondary,unknown,may,unknown,0
46,-246,255,2,-1,0,5,0,1,0,management,single,secondary,unknown,may,unknown,0
36,265,348,1,-1,0,5,0,1,1,technician,single,secondary,unknown,may,unknown,0
57,839,225,1,-1,0,5,0,0,1,technician,married,secondary,unknown,may,unknown,0
49,378,230,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
60,39,208,1,-1,0,5,0,1,1,admin.,married,secondary,unknown,may,unknown,0
59,0,226,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
51,10635,336,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
57,63,242,1,-1,0,5,0,1,0,technician,divorced,secondary,unknown,may,unknown,0
25,-7,365,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
53,-3,1666,1,-1,0,5,0,0,0,technician,married,secondary,unknown,may,unknown,0
36,506,577,1,-1,0,5,0,1,0,admin.,divorced,secondary,unknown,may,unknown,0
37,0,137,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
44,2586,160,1,-1,0,5,0,1,0,services,divorced,secondary,unknown,may,unknown,0
50,49,180,2,-1,0,5,0,1,0,management,married,secondary,unknown,may,unknown,0
60,104,22,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
54,529,1492,1,-1,0,5,0,1,0,retired,married,secondary,unknown,may,unknown,0
58,96,616,1,-1,0,5,0,1,0,retired,married,unknown,unknown,may,unknown,0
36,-171,242,1,-1,0,5,0,1,0,admin.,single,primary,unknown,may,unknown,0
58,-364,355,1,-1,0,5,0,1,0,self-employed,married,tertiary,unknown,may,unknown,0
44,0,225,2,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
55,0,160,1,-1,0,5,0,0,0,technician,divorced,secondary,unknown,may,unknown,0
29,0,363,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
54,1291,266,1,-1,0,5,0,1,0,blue-collar,married,secondary,unknown,may,unknown,0
48,-244,253,1,-1,0,5,0,1,0,management,divorced,tertiary,unknown,may,unknown,0
32,0,179,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
42,-76,787,1,-1,0,5,0,1,0,admin.,single,secondary,unknown,may,unknown,0
24,-103,145,1,-1,0,5,0,1,1,technician,single,secondary,unknown,may,unknown,0
38,243,174,1,-1,0,5,0,0,1,entrepreneur,single,tertiary,unknown,may,unknown,0
38,424,104,1,-1,0,5,0,1,0,management,single,tertiary,unknown,may,unknown,0
47,306,13,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
40,24,185,1,-1,0,5,0,1,0,blue-collar,single,unknown,unknown,may,unknown,0
46,179,1778,1,-1,0,5,0,1,0,services,married,primary,unknown,may,unknown,0
32,0,138,1,-1,0,5,0,1,0,admin.,married,tertiary,unknown,may,unknown,0
53,989,812,1,-1,0,5,0,1,0,technician,divorced,secondary,unknown,may,unknown,0
57,249,164,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
33,790,391,1,-1,0,5,0,1,0,services,married,secondary,unknown,may,unknown,0
49,154,357,1,-1,0,5,0,1,0,blue-collar,married,unknown,unknown,may,unknown,0
51,6530,91,1,-1,0,5,0,1,0,management,married,tertiary,unknown,may,unknown,0
60,100,528,1,-1,0,5,0,0,0,retired,married,tertiary,unknown,may,unknown,0
59,59,273,1,-1,0,5,0,1,0,management,divorced,tertiary,unknown,may,unknown,0
55,1205,158,2,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
35,12223,177,1,-1,0,5,0,1,1,blue-collar,single,secondary,unknown,may,unknown,0
57,5935,258,1,-1,0,5,0,1,1,blue-collar,married,secondary,unknown,may,unknown,0
31,25,172,1,-1,0,5,0,1,1,services,married,secondary,unknown,may,unknown,0
54,282,154,1,-1,0,5,0,1,1,management,married,secondary,unknown,may,unknown,0
55,23,291,1,-1,0,5,0,1,0,blue-collar,married,primary,unknown,may,unknown,0
43,1937,181,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
53,384,176,1,-1,0,5,0,1,0,technician,married,secondary,unknown,may,unknown,0
44,582,211,1,-1,0,5,0,0,1,blue-collar,married,secondary,unknown,may,unknown,0
55,91,349,1,-1,0,5,0,0,0,services,divorced,secondary,unknown,may,unknown,0
49,0,272,1,-1,0,5,0,1,1,services,divorced,secondary,unknown,may,unknown,0
